Reading No;Time;Type;Duration;Units;Sequence;Flags;SAMPLE;LOCATION;INSPECTOR;MISC;NOTE;User Login;Si;Si Error;Ti;Ti Error;Al;Al Error;Fe;Fe Error;Mn;Mn Error;Mg;Mg Error;Ca;Ca Error;K;K Error;P;P Error;S;S Error;V;V Error;Cr;Cr Error;Ni;Ni Error;Cu;Cu Error;Zn;Zn Error;Sr;Sr Error;Rb;Rb Error;Nb;Nb Error;Zr;Zr Error;Y;Y Error;Pb;Pb Error;Th;Th Error;U;U Error;Mo;Mo Error;Se;Se Error;As;As Error;Hg;Hg Error;Au;Au Error;W;W Error;Co;Co Error;Sc;Sc Error;Ba;Ba Error;Cs;Cs Error;Te;Te Error;Sb;Sb Error;Sn;Sn Error;Cd;Cd Error;Ag;Ag Error;Pd;Pd Error;Ce;Ce Error;La;La Error;Bi;Bi Error;Re;Re Error;Ta;Ta Error;Hf;Hf Error;Cl;Cl Error;Bal;Bal Error
2856;01.11.2024 16:07;TestAll Geo;330,4;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;243712,23;1038,7;3229,26;47,12;85496,63;1444,51;25935,19;160,01;633,58;38,44;7260,58;1548,75;121453,37;376,07;15564,03;194,52;1872,14;83,02;<LOD;225,3;98;7,72;53,46;12,11;104,77;15,74;<LOD;13,43;67,03;5,91;379,66;4,16;85,76;2,44;11,01;1,46;106,29;2,9;16,6;1,55;16,05;3,02;2,96;0,61;5,19;2,93;<LOD;1,5;<LOD;1,76;17,68;2,72;<LOD;30,09;0,41;0,15;<LOD;33,67;<LOD;84,85;20,46;7,33;845,53;21,37;65,66;7,24;473,96;13,58;61,13;5,48;<LOD;0,61;<LOD;5,4;<LOD;3,03;45,17;4,85;353,52;19,25;220,05;15,64;<LOD;38,15;<LOD;1,5;<LOD;1,5;<LOD;1,5;770,48;32,33;484991,81;3047,73
2855;01.11.2024 15:55;TestAll Geo;330;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;227641,09;1014,05;2826,69;43,9;73118,42;1407,42;19717,77;141,81;704,58;39,72;8096,45;1649,53;158275,27;419,37;12570,17;171,59;2655,29;95,18;<LOD;257,44;117,23;7,65;38,93;11,56;94,74;15,72;<LOD;13,38;65,82;5,9;414,56;4,41;62,67;2,18;7,94;1,43;132,76;3,15;17,17;1,51;15,06;3,03;2,25;0,58;<LOD;4,13;<LOD;1,5;<LOD;1,87;19,31;2,78;<LOD;31,53;0,52;0,15;<LOD;34,65;<LOD;76,95;18,72;8,16;1086,16;22,2;56,87;7,15;449,25;13,31;53,55;5,37;<LOD;0,6;<LOD;5,42;<LOD;3,03;40,55;4,74;366,71;19,67;232,08;16;<LOD;35,98;<LOD;1,5;<LOD;1,5;<LOD;1,5;744,7;33,2;487642,38;3078,96
2854;01.11.2024 15:41;TestAll Geo;330,26;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;230545,77;1010,11;2751,25;43,96;74608,67;1418,05;20288,54;142,09;721,21;39,6;6711,85;1626,27;165458,45;440,77;12889,69;175,63;2659,71;94,81;<LOD;261,56;110,11;7,75;29,02;11,86;93,21;15,44;<LOD;13,36;78,61;6,12;417;4,36;64,5;2,18;8,96;1,43;138,96;3,15;18,62;1,52;14,7;2,99;2,47;0,58;<LOD;4,12;<LOD;1,5;<LOD;1,78;20,36;2,76;<LOD;30,54;0,47;0,15;<LOD;33,63;<LOD;76,44;20,46;8,57;972,29;21,35;29,11;6,91;427,69;12,93;45,13;5,2;<LOD;0,58;<LOD;5,31;<LOD;3,04;34,93;4,56;344,63;19,27;225,89;15,77;<LOD;36,29;<LOD;1,5;<LOD;1,5;<LOD;1,5;783,06;33,22;480685,47;3066,21
2853;01.11.2024 15:30;TestAll Geo;330,39;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;232919,86;1011,75;2729,81;43,16;72625,59;1363,67;21975,9;148,42;806,47;41,33;6413,07;1577,05;146795,81;406,01;12246,35;171,34;2747,99;93,96;<LOD;247,85;107,7;7,49;<LOD;16,87;92,39;15,57;<LOD;13,45;71,96;6,03;398,9;4,29;66,18;2,22;9,49;1,44;138,74;3,14;16,92;1,51;14,52;2,99;2,65;0,59;<LOD;4,2;<LOD;1,5;<LOD;1,83;21,65;2,79;<LOD;31,18;0,48;0,15;<LOD;34,24;<LOD;79,18;23,79;7,92;1053,69;22,3;64,61;7,26;476,3;13,63;65,28;5,52;<LOD;0,61;<LOD;5,45;<LOD;3,12;40,19;4,79;348,01;19,56;210,37;15,86;<LOD;36,76;<LOD;1,5;<LOD;1,5;<LOD;1,5;737,55;32,26;492108,72;2984,97
2852;01.11.2024 15:22;TestAll Geo;330,6;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;163221,25;909,95;2264,56;43,46;79103,77;1561,23;24860,25;162,9;710,65;41,55;10096,21;1829,65;213534,22;524,6;13377,63;186,72;2286,08;93,54;<LOD;228,55;80,62;7,78;146,61;13,03;105,66;16,53;<LOD;14,37;56,4;5,9;247,51;3,53;77,66;2,41;6,85;1,45;78,06;2,65;13,17;1,52;14,36;3,08;2,92;0,62;<LOD;4,19;<LOD;1,5;<LOD;1,95;25,39;2,96;<LOD;33,9;0,48;0,16;<LOD;35,6;<LOD;69,99;36,81;10,23;531,99;20,75;67,47;7,52;476,65;14,13;58,14;5,67;<LOD;0,63;<LOD;5,72;<LOD;3,27;42,59;5;353,11;20,34;238,98;16,72;<LOD;38,63;<LOD;1,5;<LOD;1,5;<LOD;1,5;859,51;35,22;490083,88;3322,39
2851;01.11.2024 15:09;TestAll Geo;330,21;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;153461,88;875,61;2086,78;40,59;71338,78;1439,99;26101,96;165,61;568,1;38,67;8674,88;1728,63;209974,56;508,84;12347,31;176,34;2361,01;91,73;<LOD;223;81,4;7,31;33,09;11,27;105,79;16,35;<LOD;14,31;54,26;5,81;321,31;3,97;80,38;2,44;6,42;1,44;73,33;2,69;13,97;1,53;14,43;3,08;2,86;0,62;<LOD;4,25;<LOD;1,5;<LOD;2,01;23,94;2,91;<LOD;32,48;0,44;0,16;<LOD;35,19;<LOD;86,12;49,67;9,97;561,61;20,76;69,74;7,48;468,6;13,99;57,32;5,62;<LOD;0,62;<LOD;5,65;<LOD;3,24;40,36;4,93;367,48;20,4;236,29;16,63;<LOD;38,42;<LOD;1,5;<LOD;1,5;<LOD;1,5;783,62;33,29;513920,13;3120,91
2850;01.11.2024 14:57;TestAll Geo;330,5;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;170513,58;910,5;2292,79;44,1;87093,05;1642,33;26478,38;164,22;762,81;41,79;14858,17;1879,7;249051,09;607,03;13453,51;187,28;2460,62;92,87;<LOD;224,06;100,8;8,04;245,83;15,84;<LOD;28,04;34,88;8,56;58,4;5,79;268,11;3,58;81,01;2,4;7,68;1,43;75,48;2,59;12,98;1,49;14;2,99;2,91;0,61;<LOD;4,12;<LOD;1,5;<LOD;1,81;29,66;2,96;<LOD;31,18;0,5;0,15;<LOD;33,44;<LOD;86,11;45,09;11,85;496,46;19,48;51,79;7,05;466,71;13,31;53,52;5,32;<LOD;0,59;<LOD;5,4;<LOD;3,01;42,78;4,73;349,34;19,41;227,1;15,87;<LOD;37,83;<LOD;1,5;<LOD;1,5;<LOD;1,5;794,76;33,71;462656,66;3430,05
2849;01.11.2024 14:48;TestAll Geo;330,3;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;236786,16;1030,06;3420,96;48,69;86955,7;1385,61;30966,16;175,75;729,33;40,85;4662,47;1409,68;107304,94;372,45;17269,34;208,21;2844,75;87,9;<LOD;187,11;105,5;7,95;100,44;13,81;113,9;15,86;60,34;8,98;80,77;6,31;277,55;3,61;119,01;2,83;11,11;1,51;153,76;3,12;21,51;1,72;22,55;3,27;4,55;0,68;<LOD;4,57;<LOD;1,5;<LOD;1,89;13,38;2,79;<LOD;30,97;0,36;0,15;<LOD;33,04;<LOD;89,97;19,17;7,25;782,84;19,96;53,06;6,79;453,61;12,71;53,42;5,12;<LOD;0,57;<LOD;5,25;<LOD;2,89;38,44;4,48;390,54;19,2;242,35;15,54;<LOD;43,51;<LOD;1,5;<LOD;1,5;<LOD;1,5;680,1;29,89;505880,34;2901,17
2848;01.11.2024 14:41;TestAll Geo;330,23;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;239570,13;1036,12;3676,48;50,35;88388,14;1397,51;31915,63;180,54;926,55;44,64;4680,87;1420,23;101643,01;356,65;17912,19;211,3;2978,62;89,35;<LOD;187,73;108,79;8,09;98,72;13,54;114,3;16,11;55,13;9,02;94,07;6,72;237,91;3,39;118,73;2,85;12,83;1,53;140,91;3,03;18,63;1,7;27,88;3,44;3,86;0,67;<LOD;4,56;<LOD;1,5;<LOD;1,9;13,4;2,92;<LOD;31,22;0,53;0,16;<LOD;34,78;<LOD;92,22;22,71;6,96;716,77;19,61;27,59;6,67;420,44;12,45;43,01;5,02;<LOD;0,55;<LOD;5,28;<LOD;2,95;34,08;4,39;374,52;19,15;235,24;15,54;<LOD;42,68;<LOD;1,5;<LOD;1,5;<LOD;1,5;711,82;30,28;502389,84;2930,67
2847;01.11.2024 14:34;TestAll Geo;330,14;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;231674,7;1021,46;3424,9;47,82;84936,34;1363,32;31138,43;176,38;895,36;43,52;4661,24;1402,04;102563,88;354,9;17275,31;204,97;2710,21;86,67;<LOD;188,29;106,25;7,77;102,63;13,41;111,35;15,78;56,62;8,91;88,4;6,5;229,86;3,3;114,83;2,78;11,86;1,51;124,79;2,88;17,91;1,66;25,04;3,31;4,18;0,66;<LOD;4,48;<LOD;1,5;<LOD;1,81;10,72;2,78;<LOD;30,99;0,42;0,15;<LOD;33,78;<LOD;90,11;27,03;6,95;741,11;19,75;47,31;6,75;435,35;12,57;49,89;5,08;<LOD;0,56;<LOD;5,18;<LOD;2,89;35,85;4,42;386,24;19,09;228,62;15,36;<LOD;42,49;<LOD;1,5;<LOD;1,5;<LOD;1,5;763,35;30,49;515670,31;2866,37
2846;01.11.2024 14:27;TestAll Geo;330,45;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;187374,2;947,26;1871,08;36,75;61368,18;1334,03;18792,75;137,08;621,75;37,47;8438,78;1704,32;188157,08;457,41;11189,39;163,99;1781,98;87,82;383,03;174,98;69,83;6,76;<LOD;15,95;<LOD;27,61;<LOD;13,04;49,54;5,41;420,01;4,39;63,53;2,18;6,63;1,39;100,1;2,91;14,16;1,45;11,39;2,88;2,62;0,59;<LOD;4,02;<LOD;1,5;<LOD;1,81;17,51;2,63;<LOD;30,63;0,44;0,15;<LOD;33,56;<LOD;59,19;<LOD;13,27;431,73;19,84;<LOD;10,56;415,35;13,41;42,37;5,42;<LOD;0,6;<LOD;5,5;<LOD;3,08;44,77;4,93;261,92;18,58;148,39;15,1;<LOD;35,83;<LOD;1,5;<LOD;1,5;<LOD;1,5;851,01;34,55;513138,69;3000,53
2845;01.11.2024 14:20;TestAll Geo;330,29;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;190397,44;927,87;2303,04;38,72;74939,38;1301,85;22291,88;148,33;688,92;38,88;4486,33;1436,37;124584,73;359,4;13852,08;179,36;1919,68;82,5;278,71;147,89;80,01;6,76;20,86;10,65;<LOD;27,76;<LOD;13,24;60,72;5,72;369,9;4,11;62,22;2,14;6,94;1,38;95,23;2,81;12,56;1,41;17,84;3,06;<LOD;147,85;<LOD;4,01;<LOD;1,5;<LOD;1,83;15,46;2,7;<LOD;31,22;0,4;0,15;<LOD;33,89;<LOD;78,61;32,05;7,04;576,26;20,25;28,39;7,12;454,51;13,5;53,91;5,44;<LOD;0,6;<LOD;5,44;<LOD;3,14;41,46;4,81;281,49;18,94;173,22;15,5;<LOD;35,91;<LOD;1,5;<LOD;1,5;<LOD;1,5;645,96;30,63;548866,06;2780,44
2844;01.11.2024 14:13;TestAll Geo;330,18;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;185395;943,97;2164,65;38,69;63553,25;1323,84;21294,99;144,81;629,32;37,74;7842,42;1631,84;175287,52;450,38;11772,69;167,18;1983,33;88,44;<LOD;257,65;73,91;6,78;107,31;20,31;<LOD;27,38;<LOD;12,84;58,73;5,64;406,37;4,29;68,06;2,2;7,89;1,39;129,51;3,07;13,03;1,43;12,28;2,9;1,97;0,56;<LOD;4,1;<LOD;1,5;<LOD;1,85;19,18;2,67;<LOD;31,2;0,37;0,15;<LOD;33,48;<LOD;77,37;17,84;8,75;629,55;20,36;40,07;7,12;452,66;13,4;58,63;5,44;<LOD;0,6;<LOD;5,36;<LOD;3,03;41,72;4,78;308,96;18,74;199,63;15,36;<LOD;34,88;<LOD;1,5;<LOD;1,5;<LOD;1,5;849,79;33,97;529674,25;2932,08
2843;01.11.2024 14:05;TestAll Geo;330,63;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;199029,64;969,8;2890,01;45,65;76133,48;1397,86;24040,44;157,77;823,34;42,45;6329,47;1584,93;139915,61;402,08;14413,45;189,82;2334,67;90,69;<LOD;231,37;97,47;7,72;42,12;11,62;89,25;15,9;<LOD;14,26;68,11;6,04;336,82;4,02;79,05;2,4;9,34;1,47;86,48;2,78;15,96;1,55;18,18;3,16;2,92;0,62;<LOD;4,24;<LOD;1,5;<LOD;1,91;13,21;2,73;<LOD;31,45;0,43;0,15;<LOD;34,03;<LOD;67,94;37,49;7,89;1024,1;22,26;75,71;7,32;472,19;13,65;60,83;5,5;<LOD;0,61;<LOD;5,58;<LOD;3,14;42,3;4,83;369,06;20,2;233,98;16,45;<LOD;38,28;<LOD;1,5;<LOD;1,5;<LOD;1,5;837,06;33,76;521117,56;3018,65
2842;01.11.2024 13:47;TestAll Geo;330,28;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;206120,8;969,21;2945,83;44,99;84864,72;1463,36;22912,04;150,16;674,15;38,71;9362,1;1581,36;159134,05;440,31;13986,88;181,27;1891,46;82,98;<LOD;228,05;100,26;7,62;57,44;12,58;99,3;15,31;<LOD;13,25;61,39;5,71;359,64;4,05;73,08;2,28;9,25;1,42;86,56;2,74;15,28;1,49;13,3;2,94;2,64;0,59;<LOD;4,1;<LOD;1,5;<LOD;1,87;12,14;2,54;<LOD;31,12;0,39;0,15;<LOD;33,23;<LOD;79,48;32,58;8,6;982,92;21,02;57,04;6,89;440,58;12,78;49,51;5,15;<LOD;0,57;<LOD;5,25;<LOD;2,93;42,44;4,6;368,17;19,02;237,68;15,5;<LOD;36,51;<LOD;1,5;<LOD;1,5;<LOD;1,5;871,03;32,81;501445,03;3052,34
2841;01.11.2024 13:32;TestAll Geo;330,21;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;204253,72;961,73;2787,49;43,94;82734,17;1403,02;23655,72;152,29;720,99;39,54;5795,77;1498,34;137448,63;401,38;14467,36;186,86;2580,25;89,22;<LOD;213,88;85,81;7,42;43,28;11,94;93,17;15,31;<LOD;13,54;65,56;5,82;334,08;3,9;75,47;2,3;7,74;1,41;103,82;2,82;15,71;1,5;13,12;2,92;2,81;0,59;<LOD;4,01;<LOD;1,5;<LOD;1,84;15,82;2,61;<LOD;30,76;0,34;0,14;<LOD;33,45;<LOD;80,29;30,74;7,85;665,83;20,02;35,96;6,92;437,73;12,97;50,18;5,24;<LOD;0,58;<LOD;5,34;<LOD;3,03;40,03;4,63;330,42;19,05;229,11;15,72;<LOD;36,76;<LOD;1,5;<LOD;1,5;<LOD;1,5;754,01;31,67;518487,59;2928,69
2840;01.11.2024 13:24;TestAll Geo;330,25;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;218541,31;1002,34;3486,12;49,15;90257,46;1492,1;28048,27;164,78;769,58;40,64;7369,99;1541,87;132347,36;398,9;12584,87;176,04;1577,21;78,88;<LOD;198;109,07;7,94;88,63;12,88;97,27;15,41;38,31;8,41;73;6;288,02;3,61;77,58;2,34;12,31;1,47;87,27;2,64;18,02;1,53;19,11;3,07;3,64;0,62;<LOD;3,99;<LOD;1,5;<LOD;1,74;9,7;2,58;<LOD;30,8;0,41;0,15;<LOD;32,77;<LOD;86,2;37,93;7,84;707,99;19,83;27,73;6,76;430,91;12,68;44,75;5,1;<LOD;0,56;<LOD;5,33;<LOD;3;36,43;4,48;354,65;19,26;232,57;15,75;<LOD;38,6;<LOD;1,5;<LOD;1,5;<LOD;1,5;610,53;31,05;501057;3056,43
2839;01.11.2024 13:07;TestAll Geo;0,37;ppm;Final;;;;;;;Juan-Marco Puerta Schardt;;;<LOD;28787,37;;;<LOD;1221,35;<LOD;1854,58;;;;;;;;;;;<LOD;4310,9;<LOD;4798,18;<LOD;30335,01;<LOD;22124;<LOD;587,21;<LOD;29,56;<LOD;26,48;<LOD;106,02;<LOD;66,34;<LOD;37,12;<LOD;76,57;<LOD;432,3;<LOD;300000;<LOD;1,5;<LOD;35,97;<LOD;8,17;<LOD;770,45;<LOD;300000;<LOD;300000;<LOD;523,05;;;;;;;;;;;;;<LOD;3169,66;<LOD;3051,86;;;;;;;83,47;53,07;<LOD;1,5;<LOD;1,5;<LOD;1,5;;;991096,88;31423,7
